负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				金融科技硕士	一年	462，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				全球管理硕士	一年	426，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				商业分析理学硕士	一年	426，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				市场营销学硕士	一年	398，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				家族财富管理硕士	一年	462，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				会计分析硕士	一年	426，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				可持续会计及金融硕士	一年	462，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				财富管理硕士	一年	462，000港币	7.2~7.25 7.26~10.3 10.4~12.12 12.13~次年2..23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
				商业人工智能硕士	一年	462，000港币	11.7~12.12 12.13~次年2.23	雅思：总分6，小分5.5 托福：总分80	加分项，不强求	录制视频	
	香港中文大学	32	医学院	中医学硕士	四年	230，050港币	9.1~次年2.28	雅思：总分6.5 托福：总分79	否	有	
				护理科学理学硕士	三年	153，000港币	9.1~次年1.2 次年1.3~次年4.30	雅思：总分6.5 托福：总分79	否	无	
				公共卫生硕士	一年	226，800港币	9.1~次年2.28 次年3.1~次年5.1	雅思：总分6.5 托福：总分79	否	有	
				流行病学和生物统计学理学硕士	一年	226，800港币	9.1~次年2.28 次年3.1~次年5.1	雅思：总分6.5 托福：总分79	否	有	
				胃肠病学理学硕士	一年	173，000港币	9.1~次年4.30	雅思：总分6.5 托福：总分79	否	无	
				基因组学和生物信息学理学硕士	一年	160，000港币	9.1~次年5.8	雅思：总分6.5 托福：总分79	否	无	
				肌肉骨骼医学、康复和老年骨科理学硕士	一年	196，000港币	9.1~次年5.8	雅思：总分6.5 托福：总分79	否	有	
				运动医学和健康科学理学硕士	一年	198，000港币	9.1~次年1.31 次年2.1~次年4.30	雅思：总分6.5 托福：总分79	否	有	
				语言病理学硕士	两年	550，000港币	9.1~11.28 11.29~12.19 12.20~次年2.9 次年2.10~次年3.31	雅思：总分6.5 托福：总分79	否	有	
				中药药理与药物开发硕士	一年	220，000港币	9.1~12.31 次年1.1~次年3.31	雅思：总分6.5 托福：总分79	否	有	
				中医学理学硕士	一年	213，000港币	9.1~次年3.31	雅思：总分6.5 托福：总分79	否	无	
			工商管理学院	工商管理硕士	三年	904，250港币	8.4~次年1.31 次年2.1~次年2.28 次年3.1~次年4.10	雅思：总分7.5 托福：总分100	加分项，不强求	无	
				会计学硕士	一年	395，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				精算科学和保险分析理学硕士	一年	605，000港币	8.4~10.31 11.1~12.15 12.16~次年1.31 次年2.1~次年3.15 次年3.16~次年4.30	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				商业分析理学硕士	一年	360，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				金融学理学硕士	一年	380，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				信息科学和技术管理理学硕士	一年	320，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				管理学理学硕士	一年	405，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				市场营销学理学硕士	一年	390，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				房地产理学硕士	一年	300，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				全球可持续商业硕士	一年	350，000港币	6.26~8.1 8.2~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				体验经济领导力硕士	一年	300，000港币	10.20~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
				航空管理硕士	一年	300，000港币	10.20~次年3.31	雅思：总分6.5 托福：总分79	加分项，不强求	有	
			工程学院	生物医学工程硕士							
				计算机硕士							
				电子商务和物流技术硕士							
				电子工程硕士							
				金融科技硕士							
				信息工程硕士							
				信息工程硕士							
				机械与自动化工程硕士							
				系统工程和工程管理理学硕士							
				人工智能硕士							
				机器人学硕士							
				微电子与集成电路硕士							
											
											
											
											
丹丹	香港都会大学	781-790	人文和社会科学学院	应用英语语言学硕士	一年	111，900港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				专业双语翻译硕士	一年	121，500港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				中国文学硕士(中文授课)	一年	131，850港币	11月12日~次年5月31日	/	无明确说明	有	无
				创意产业和文化资产硕士	一年	119，955港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				创意写作文学硕士	一年	119，955港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	需要
				文化与保育旅游硕士(中文版)	一年	120，900港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				文化与保育旅游硕士(英文版)	一年	120，900港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				社会科学硕士(设专业范畴)	一年	120，150港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				应用文化研究硕士	一年	121，500港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
		781-790	护理和健康研究学院	护理学硕士(专研:临终关怀)	一年	137，250港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				智能安老及老年学硕士	一年	137，100港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				中药药剂学硕士	一年	116，400港币	11月12日~次年5月31日	/	无明确说明	无明确说明	无
				护理学硕士(专研:高级呼吸系统)	一年	137，250港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				护理学硕士(专研:管理及领导)	一年	137，250港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
